Organization legal name or 'doing business as' name,Group PAC ID,State,Measure Identifier,Measure Title,Measure Performance Rate,Denominator Count,Footnote
UNC PHYSICIANS NETWORK,5496940546,NC,CAHPS_GRP_10,Between visit communication.,59,211,
UNC PHYSICIANS NETWORK,5496940546,NC,CAHPS_GRP_12,Attention to patient medicine cost.,26,312,
UNC PHYSICIANS NETWORK,5496940546,NC,CAHPS_GRP_2,How well clinicians communicate.,83,296,
UNC PHYSICIANS NETWORK,5496940546,NC,CAHPS_GRP_3,Patients' rating of clinicians.,80,270,
UNC PHYSICIANS NETWORK,5496940546,NC,CAHPS_GRP_5,Health promotion and education.,67,318,
UNC PHYSICIANS NETWORK,5496940546,NC,CAHPS_GRP_8,Courteous and helpful office staff.,84,271,
UNC PHYSICIANS NETWORK,5496940546,NC,CAHPS_GRP_9,Clinicians working together for your care.,79,317,
HUTCHINSON CLINIC PA INC,5597658492,KS,CAHPS_GRP_1,"Getting timely care, appointments, and information.",,,4
HUTCHINSON CLINIC PA INC,5597658492,KS,CAHPS_GRP_10,Between visit communication.,44,151,
HUTCHINSON CLINIC PA INC,5597658492,KS,CAHPS_GRP_12,Attention to patient medicine cost.,29,236,
HUTCHINSON CLINIC PA INC,5597658492,KS,CAHPS_GRP_2,How well clinicians communicate.,78,231,
HUTCHINSON CLINIC PA INC,5597658492,KS,CAHPS_GRP_3,Patients' rating of clinicians.,78,226,
HUTCHINSON CLINIC PA INC,5597658492,KS,CAHPS_GRP_5,Health promotion and education.,53,256,
HUTCHINSON CLINIC PA INC,5597658492,KS,CAHPS_GRP_8,Courteous and helpful office staff.,81,224,
HUTCHINSON CLINIC PA INC,5597658492,KS,CAHPS_GRP_9,Clinicians working together for your care.,72,257,
"MANKATO CLINIC, LTD.",5597677955,MN,CAHPS_GRP_1,"Getting timely care, appointments, and information.",65,289,
"MANKATO CLINIC, LTD.",5597677955,MN,CAHPS_GRP_10,Between visit communication.,68,190,
"MANKATO CLINIC, LTD.",5597677955,MN,CAHPS_GRP_12,Attention to patient medicine cost.,24,318,
"MANKATO CLINIC, LTD.",5597677955,MN,CAHPS_GRP_2,How well clinicians communicate.,81,290,
"MANKATO CLINIC, LTD.",5597677955,MN,CAHPS_GRP_3,Patients' rating of clinicians.,77,283,
"MANKATO CLINIC, LTD.",5597677955,MN,CAHPS_GRP_5,Health promotion and education.,62,333,
"MANKATO CLINIC, LTD.",5597677955,MN,CAHPS_GRP_8,Courteous and helpful office staff.,83,278,
"MANKATO CLINIC, LTD.",5597677955,MN,CAHPS_GRP_9,Clinicians working together for your care.,75,330,
PREMIER HEALTH SPECIALISTS INC,5597708594,OH,CAHPS_GRP_1,"Getting timely care, appointments, and information.",,,4
PREMIER HEALTH SPECIALISTS INC,5597708594,OH,CAHPS_GRP_10,Between visit communication.,,,4
PREMIER HEALTH SPECIALISTS INC,5597708594,OH,CAHPS_GRP_12,Attention to patient medicine cost.,,,4
PREMIER HEALTH SPECIALISTS INC,5597708594,OH,CAHPS_GRP_2,How well clinicians communicate.,,,4
PREMIER HEALTH SPECIALISTS INC,5597708594,OH,CAHPS_GRP_3,Patients' rating of clinicians.,,,4
PREMIER HEALTH SPECIALISTS INC,5597708594,OH,CAHPS_GRP_5,Health promotion and education.,60,150,
PREMIER HEALTH SPECIALISTS INC,5597708594,OH,CAHPS_GRP_8,Courteous and helpful office staff.,,,4
PREMIER HEALTH SPECIALISTS INC,5597708594,OH,CAHPS_GRP_9,Clinicians working together for your care.,,,4
WINTHROP COMMUNITY MEDICAL AFFILIATES PC,5698092385,NY,CAHPS_GRP_1,"Getting timely care, appointments, and information.",66,305,
WINTHROP COMMUNITY MEDICAL AFFILIATES PC,5698092385,NY,CAHPS_GRP_10,Between visit communication.,53,191,
WINTHROP COMMUNITY MEDICAL AFFILIATES PC,5698092385,NY,CAHPS_GRP_12,Attention to patient medicine cost.,23,310,
WINTHROP COMMUNITY MEDICAL AFFILIATES PC,5698092385,NY,CAHPS_GRP_2,How well clinicians communicate.,86,305,
WINTHROP COMMUNITY MEDICAL AFFILIATES PC,5698092385,NY,CAHPS_GRP_3,Patients' rating of clinicians.,86,289,
WINTHROP COMMUNITY MEDICAL AFFILIATES PC,5698092385,NY,CAHPS_GRP_5,Health promotion and education.,64,322,
WINTHROP COMMUNITY MEDICAL AFFILIATES PC,5698092385,NY,CAHPS_GRP_8,Courteous and helpful office staff.,86,288,
WINTHROP COMMUNITY MEDICAL AFFILIATES PC,5698092385,NY,CAHPS_GRP_9,Clinicians working together for your care.,77,322,
EVMS ACADEMIC PHYSICIANS AND SURGEONS HEALTH SERVICES FOUNDATION,5698675510,VA,CAHPS_GRP_1,"Getting timely care, appointments, and information.",57,271,
EVMS ACADEMIC PHYSICIANS AND SURGEONS HEALTH SERVICES FOUNDATION,5698675510,VA,CAHPS_GRP_10,Between visit communication.,57,193,
EVMS ACADEMIC PHYSICIANS AND SURGEONS HEALTH SERVICES FOUNDATION,5698675510,VA,CAHPS_GRP_12,Attention to patient medicine cost.,32,309,
EVMS ACADEMIC PHYSICIANS AND SURGEONS HEALTH SERVICES FOUNDATION,5698675510,VA,CAHPS_GRP_2,How well clinicians communicate.,87,274,
EVMS ACADEMIC PHYSICIANS AND SURGEONS HEALTH SERVICES FOUNDATION,5698675510,VA,CAHPS_GRP_3,Patients' rating of clinicians.,86,273,
EVMS ACADEMIC PHYSICIANS AND SURGEONS HEALTH SERVICES FOUNDATION,5698675510,VA,CAHPS_GRP_5,Health promotion and education.,68,326,
EVMS ACADEMIC PHYSICIANS AND SURGEONS HEALTH SERVICES FOUNDATION,5698675510,VA,CAHPS_GRP_8,Courteous and helpful office staff.,74,276,
EVMS ACADEMIC PHYSICIANS AND SURGEONS HEALTH SERVICES FOUNDATION,5698675510,VA,CAHPS_GRP_9,Clinicians working together for your care.,75,323,
MAYO CLINIC - FLORIDA,5698689297,FL,CAHPS_GRP_1,"Getting timely care, appointments, and information.",66,229,
MAYO CLINIC - FLORIDA,5698689297,FL,CAHPS_GRP_10,Between visit communication.,70,160,
MAYO CLINIC - FLORIDA,5698689297,FL,CAHPS_GRP_12,Attention to patient medicine cost.,25,276,
MAYO CLINIC - FLORIDA,5698689297,FL,CAHPS_GRP_2,How well clinicians communicate.,86,231,
MAYO CLINIC - FLORIDA,5698689297,FL,CAHPS_GRP_3,Patients' rating of clinicians.,85,220,
MAYO CLINIC - FLORIDA,5698689297,FL,CAHPS_GRP_5,Health promotion and education.,62,291,
MAYO CLINIC - FLORIDA,5698689297,FL,CAHPS_GRP_8,Courteous and helpful office staff.,87,221,
MAYO CLINIC - FLORIDA,5698689297,FL,CAHPS_GRP_9,Clinicians working together for your care.,79,285,
"KENTUCKY MEDICAL SERVICES FOUNDATION, INC",5698689909,KY,CAHPS_GRP_1,"Getting timely care, appointments, and information.",58,253,
"KENTUCKY MEDICAL SERVICES FOUNDATION, INC",5698689909,KY,CAHPS_GRP_10,Between visit communication.,43,188,
"KENTUCKY MEDICAL SERVICES FOUNDATION, INC",5698689909,KY,CAHPS_GRP_12,Attention to patient medicine cost.,26,261,
"KENTUCKY MEDICAL SERVICES FOUNDATION, INC",5698689909,KY,CAHPS_GRP_2,How well clinicians communicate.,82,255,
"KENTUCKY MEDICAL SERVICES FOUNDATION, INC",5698689909,KY,CAHPS_GRP_3,Patients' rating of clinicians.,82,240,
"KENTUCKY MEDICAL SERVICES FOUNDATION, INC",5698689909,KY,CAHPS_GRP_5,Health promotion and education.,57,279,
"KENTUCKY MEDICAL SERVICES FOUNDATION, INC",5698689909,KY,CAHPS_GRP_8,Courteous and helpful office staff.,84,239,
"KENTUCKY MEDICAL SERVICES FOUNDATION, INC",5698689909,KY,CAHPS_GRP_9,Clinicians working together for your care.,75,277,
SOLUTIONS PRACTICE MANAGEMENT,5698840775,OK,CAHPS_GRP_1,"Getting timely care, appointments, and information.",55,336,
SOLUTIONS PRACTICE MANAGEMENT,5698840775,OK,CAHPS_GRP_10,Between visit communication.,66,252,
SOLUTIONS PRACTICE MANAGEMENT,5698840775,OK,CAHPS_GRP_12,Attention to patient medicine cost.,27,335,
SOLUTIONS PRACTICE MANAGEMENT,5698840775,OK,CAHPS_GRP_2,How well clinicians communicate.,86,335,
SOLUTIONS PRACTICE MANAGEMENT,5698840775,OK,CAHPS_GRP_3,Patients' rating of clinicians.,82,335,
SOLUTIONS PRACTICE MANAGEMENT,5698840775,OK,CAHPS_GRP_5,Health promotion and education.,58,361,
SOLUTIONS PRACTICE MANAGEMENT,5698840775,OK,CAHPS_GRP_8,Courteous and helpful office staff.,78,336,
SOLUTIONS PRACTICE MANAGEMENT,5698840775,OK,CAHPS_GRP_9,Clinicians working together for your care.,79,353,
WHEELING HOSPITAL INC,5799689493,WV,CAHPS_GRP_1,"Getting timely care, appointments, and information.",60,299,
WHEELING HOSPITAL INC,5799689493,WV,CAHPS_GRP_10,Between visit communication.,47,190,
WHEELING HOSPITAL INC,5799689493,WV,CAHPS_GRP_12,Attention to patient medicine cost.,35,299,
WHEELING HOSPITAL INC,5799689493,WV,CAHPS_GRP_2,How well clinicians communicate.,81,303,
WHEELING HOSPITAL INC,5799689493,WV,CAHPS_GRP_3,Patients' rating of clinicians.,78,299,
WHEELING HOSPITAL INC,5799689493,WV,CAHPS_GRP_5,Health promotion and education.,62,318,
WHEELING HOSPITAL INC,5799689493,WV,CAHPS_GRP_8,Courteous and helpful office staff.,83,300,
WHEELING HOSPITAL INC,5799689493,WV,CAHPS_GRP_9,Clinicians working together for your care.,75,320,
ST VINCENT HOSPITAL-HOSPITAL SISTERS-THIRD ORDER OF ST FRANCIS,5799694675,WI,CAHPS_GRP_1,"Getting timely care, appointments, and information.",66,351,
ST VINCENT HOSPITAL-HOSPITAL SISTERS-THIRD ORDER OF ST FRANCIS,5799694675,WI,CAHPS_GRP_10,Between visit communication.,68,209,
ST VINCENT HOSPITAL-HOSPITAL SISTERS-THIRD ORDER OF ST FRANCIS,5799694675,WI,CAHPS_GRP_12,Attention to patient medicine cost.,24,366,
ST VINCENT HOSPITAL-HOSPITAL SISTERS-THIRD ORDER OF ST FRANCIS,5799694675,WI,CAHPS_GRP_2,How well clinicians communicate.,85,349,
ST VINCENT HOSPITAL-HOSPITAL SISTERS-THIRD ORDER OF ST FRANCIS,5799694675,WI,CAHPS_GRP_3,Patients' rating of clinicians.,85,332,
ST VINCENT HOSPITAL-HOSPITAL SISTERS-THIRD ORDER OF ST FRANCIS,5799694675,WI,CAHPS_GRP_5,Health promotion and education.,57,382,
ST VINCENT HOSPITAL-HOSPITAL SISTERS-THIRD ORDER OF ST FRANCIS,5799694675,WI,CAHPS_GRP_8,Courteous and helpful office staff.,87,334,
ST VINCENT HOSPITAL-HOSPITAL SISTERS-THIRD ORDER OF ST FRANCIS,5799694675,WI,CAHPS_GRP_9,Clinicians working together for your care.,80,379,
SWEDISHAMERICAN HOSPITAL,5799698346,IL,CAHPS_GRP_1,"Getting timely care, appointments, and information.",54,323,
SWEDISHAMERICAN HOSPITAL,5799698346,IL,CAHPS_GRP_10,Between visit communication.,55,207,
SWEDISHAMERICAN HOSPITAL,5799698346,IL,CAHPS_GRP_12,Attention to patient medicine cost.,22,336,
SWEDISHAMERICAN HOSPITAL,5799698346,IL,CAHPS_GRP_2,How well clinicians communicate.,82,324,
SWEDISHAMERICAN HOSPITAL,5799698346,IL,CAHPS_GRP_3,Patients' rating of clinicians.,81,308,
SWEDISHAMERICAN HOSPITAL,5799698346,IL,CAHPS_GRP_5,Health promotion and education.,62,346,
SWEDISHAMERICAN HOSPITAL,5799698346,IL,CAHPS_GRP_8,Courteous and helpful office staff.,86,309,
SWEDISHAMERICAN HOSPITAL,5799698346,IL,CAHPS_GRP_9,Clinicians working together for your care.,78,347,
UNIVERSITY OF ROCHESTER,5799699088,NY,CAHPS_GRP_1,"Getting timely care, appointments, and information.",70,263,
UNIVERSITY OF ROCHESTER,5799699088,NY,CAHPS_GRP_10,Between visit communication.,49,187,
UNIVERSITY OF ROCHESTER,5799699088,NY,CAHPS_GRP_12,Attention to patient medicine cost.,25,269,
UNIVERSITY OF ROCHESTER,5799699088,NY,CAHPS_GRP_2,How well clinicians communicate.,85,263,
UNIVERSITY OF ROCHESTER,5799699088,NY,CAHPS_GRP_3,Patients' rating of clinicians.,84,249,
UNIVERSITY OF ROCHESTER,5799699088,NY,CAHPS_GRP_5,Health promotion and education.,67,283,
UNIVERSITY OF ROCHESTER,5799699088,NY,CAHPS_GRP_8,Courteous and helpful office staff.,87,251,
UNIVERSITY OF ROCHESTER,5799699088,NY,CAHPS_GRP_9,Clinicians working together for your care.,77,284,
SLOCUM DICKSON MEDICAL GROUP PLLC,5799778510,NY,CAHPS_GRP_1,"Getting timely care, appointments, and information.",59,332,
SLOCUM DICKSON MEDICAL GROUP PLLC,5799778510,NY,CAHPS_GRP_10,Between visit communication.,46,222,
SLOCUM DICKSON MEDICAL GROUP PLLC,5799778510,NY,CAHPS_GRP_12,Attention to patient medicine cost.,19,338,
SLOCUM DICKSON MEDICAL GROUP PLLC,5799778510,NY,CAHPS_GRP_2,How well clinicians communicate.,79,334,
SLOCUM DICKSON MEDICAL GROUP PLLC,5799778510,NY,CAHPS_GRP_3,Patients' rating of clinicians.,77,332,
SLOCUM DICKSON MEDICAL GROUP PLLC,5799778510,NY,CAHPS_GRP_5,Health promotion and education.,57,356,
SLOCUM DICKSON MEDICAL GROUP PLLC,5799778510,NY,CAHPS_GRP_8,Courteous and helpful office staff.,86,334,
SLOCUM DICKSON MEDICAL GROUP PLLC,5799778510,NY,CAHPS_GRP_9,Clinicians working together for your care.,70,356,
REGIONAL SERVICES,5799787784,MO,CAHPS_GRP_1,"Getting timely care, appointments, and information.",62,304,
REGIONAL SERVICES,5799787784,MO,CAHPS_GRP_10,Between visit communication.,53,197,
REGIONAL SERVICES,5799787784,MO,CAHPS_GRP_12,Attention to patient medicine cost.,27,312,
REGIONAL SERVICES,5799787784,MO,CAHPS_GRP_2,How well clinicians communicate.,83,305,
REGIONAL SERVICES,5799787784,MO,CAHPS_GRP_3,Patients' rating of clinicians.,80,292,
REGIONAL SERVICES,5799787784,MO,CAHPS_GRP_5,Health promotion and education.,59,328,
REGIONAL SERVICES,5799787784,MO,CAHPS_GRP_8,Courteous and helpful office staff.,83,294,
REGIONAL SERVICES,5799787784,MO,CAHPS_GRP_9,Clinicians working together for your care.,79,326,
"COLUMBIA ST. MARY'S HOSPITAL MILWAUKEE, INC",5890604722,WI,CAHPS_GRP_1,"Getting timely care, appointments, and information.",61,279,
"COLUMBIA ST. MARY'S HOSPITAL MILWAUKEE, INC",5890604722,WI,CAHPS_GRP_10,Between visit communication.,57,173,
"COLUMBIA ST. MARY'S HOSPITAL MILWAUKEE, INC",5890604722,WI,CAHPS_GRP_12,Attention to patient medicine cost.,24,289,
"COLUMBIA ST. MARY'S HOSPITAL MILWAUKEE, INC",5890604722,WI,CAHPS_GRP_2,How well clinicians communicate.,82,283,
"COLUMBIA ST. MARY'S HOSPITAL MILWAUKEE, INC",5890604722,WI,CAHPS_GRP_3,Patients' rating of clinicians.,80,261,
"COLUMBIA ST. MARY'S HOSPITAL MILWAUKEE, INC",5890604722,WI,CAHPS_GRP_5,Health promotion and education.,62,300,
"COLUMBIA ST. MARY'S HOSPITAL MILWAUKEE, INC",5890604722,WI,CAHPS_GRP_8,Courteous and helpful office staff.,79,261,
"COLUMBIA ST. MARY'S HOSPITAL MILWAUKEE, INC",5890604722,WI,CAHPS_GRP_9,Clinicians working together for your care.,76,298,
HOLZER CLINIC LLC,5890606008,OH,CAHPS_GRP_1,"Getting timely care, appointments, and information.",56,288,
HOLZER CLINIC LLC,5890606008,OH,CAHPS_GRP_10,Between visit communication.,52,203,
HOLZER CLINIC LLC,5890606008,OH,CAHPS_GRP_12,Attention to patient medicine cost.,27,289,
HOLZER CLINIC LLC,5890606008,OH,CAHPS_GRP_2,How well clinicians communicate.,84,289,
HOLZER CLINIC LLC,5890606008,OH,CAHPS_GRP_3,Patients' rating of clinicians.,81,270,
HOLZER CLINIC LLC,5890606008,OH,CAHPS_GRP_5,Health promotion and education.,63,308,
HOLZER CLINIC LLC,5890606008,OH,CAHPS_GRP_8,Courteous and helpful office staff.,82,271,
HOLZER CLINIC LLC,5890606008,OH,CAHPS_GRP_9,Clinicians working together for your care.,77,307,
EISENHOWER MEDICAL CENTER,5890689657,CA,CAHPS_GRP_1,"Getting timely care, appointments, and information.",60,264,
EISENHOWER MEDICAL CENTER,5890689657,CA,CAHPS_GRP_10,Between visit communication.,56,149,
EISENHOWER MEDICAL CENTER,5890689657,CA,CAHPS_GRP_12,Attention to patient medicine cost.,27,294,
EISENHOWER MEDICAL CENTER,5890689657,CA,CAHPS_GRP_2,How well clinicians communicate.,83,264,
EISENHOWER MEDICAL CENTER,5890689657,CA,CAHPS_GRP_3,Patients' rating of clinicians.,84,265,
EISENHOWER MEDICAL CENTER,5890689657,CA,CAHPS_GRP_5,Health promotion and education.,65,305,
EISENHOWER MEDICAL CENTER,5890689657,CA,CAHPS_GRP_8,Courteous and helpful office staff.,81,264,
EISENHOWER MEDICAL CENTER,5890689657,CA,CAHPS_GRP_9,Clinicians working together for your care.,72,303,
MOUNT SINAI COMMUNITY FOUNDATION,5991600405,IL,CAHPS_GRP_1,"Getting timely care, appointments, and information.",55,193,
MOUNT SINAI COMMUNITY FOUNDATION,5991600405,IL,CAHPS_GRP_10,Between visit communication.,66,138,
MOUNT SINAI COMMUNITY FOUNDATION,5991600405,IL,CAHPS_GRP_12,Attention to patient medicine cost.,,,4
MOUNT SINAI COMMUNITY FOUNDATION,5991600405,IL,CAHPS_GRP_2,How well clinicians communicate.,,,4
MOUNT SINAI COMMUNITY FOUNDATION,5991600405,IL,CAHPS_GRP_3,Patients' rating of clinicians.,,,4
MOUNT SINAI COMMUNITY FOUNDATION,5991600405,IL,CAHPS_GRP_5,Health promotion and education.,66,201,
MOUNT SINAI COMMUNITY FOUNDATION,5991600405,IL,CAHPS_GRP_8,Courteous and helpful office staff.,,,4
MOUNT SINAI COMMUNITY FOUNDATION,5991600405,IL,CAHPS_GRP_9,Clinicians working together for your care.,70,200,
PROVIDENCE MEDICAL INSTITUTE,5991609737,CA,CAHPS_GRP_1,"Getting timely care, appointments, and information.",59,234,
PROVIDENCE MEDICAL INSTITUTE,5991609737,CA,CAHPS_GRP_10,Between visit communication.,54,152,
PROVIDENCE MEDICAL INSTITUTE,5991609737,CA,CAHPS_GRP_12,Attention to patient medicine cost.,23,253,
PROVIDENCE MEDICAL INSTITUTE,5991609737,CA,CAHPS_GRP_2,How well clinicians communicate.,84,233,
PROVIDENCE MEDICAL INSTITUTE,5991609737,CA,CAHPS_GRP_3,Patients' rating of clinicians.,85,223,
PROVIDENCE MEDICAL INSTITUTE,5991609737,CA,CAHPS_GRP_5,Health promotion and education.,60,268,
PROVIDENCE MEDICAL INSTITUTE,5991609737,CA,CAHPS_GRP_8,Courteous and helpful office staff.,77,222,
PROVIDENCE MEDICAL INSTITUTE,5991609737,CA,CAHPS_GRP_9,Clinicians working together for your care.,76,268,
MARTINS POINT HEALTHCARE,5991776635,ME,CAHPS_GRP_1,"Getting timely care, appointments, and information.",66,285,
MARTINS POINT HEALTHCARE,5991776635,ME,CAHPS_GRP_10,Between visit communication.,60,196,
MARTINS POINT HEALTHCARE,5991776635,ME,CAHPS_GRP_12,Attention to patient medicine cost.,25,291,
MARTINS POINT HEALTHCARE,5991776635,ME,CAHPS_GRP_2,How well clinicians communicate.,81,284,
MARTINS POINT HEALTHCARE,5991776635,ME,CAHPS_GRP_3,Patients' rating of clinicians.,78,271,
MARTINS POINT HEALTHCARE,5991776635,ME,CAHPS_GRP_5,Health promotion and education.,60,307,
MARTINS POINT HEALTHCARE,5991776635,ME,CAHPS_GRP_8,Courteous and helpful office staff.,83,275,
MARTINS POINT HEALTHCARE,5991776635,ME,CAHPS_GRP_9,Clinicians working together for your care.,77,309,
MARTHA JEFFERSON MEDICAL GROUP LLC,5991889081,VA,CAHPS_GRP_1,"Getting timely care, appointments, and information.",62,345,
MARTHA JEFFERSON MEDICAL GROUP LLC,5991889081,VA,CAHPS_GRP_10,Between visit communication.,57,221,
MARTHA JEFFERSON MEDICAL GROUP LLC,5991889081,VA,CAHPS_GRP_12,Attention to patient medicine cost.,32,345,
MARTHA JEFFERSON MEDICAL GROUP LLC,5991889081,VA,CAHPS_GRP_2,How well clinicians communicate.,86,344,
MARTHA JEFFERSON MEDICAL GROUP LLC,5991889081,VA,CAHPS_GRP_3,Patients' rating of clinicians.,84,342,
MARTHA JEFFERSON MEDICAL GROUP LLC,5991889081,VA,CAHPS_GRP_5,Health promotion and education.,60,365,
MARTHA JEFFERSON MEDICAL GROUP LLC,5991889081,VA,CAHPS_GRP_8,Courteous and helpful office staff.,83,346,
MARTHA JEFFERSON MEDICAL GROUP LLC,5991889081,VA,CAHPS_GRP_9,Clinicians working together for your care.,79,367,
"LAKE HOSPITAL SYSTEM, INC.",6002713922,OH,CAHPS_GRP_1,"Getting timely care, appointments, and information.",,,4
"LAKE HOSPITAL SYSTEM, INC.",6002713922,OH,CAHPS_GRP_10,Between visit communication.,61,183,
"LAKE HOSPITAL SYSTEM, INC.",6002713922,OH,CAHPS_GRP_12,Attention to patient medicine cost.,30,309,
"LAKE HOSPITAL SYSTEM, INC.",6002713922,OH,CAHPS_GRP_2,How well clinicians communicate.,86,302,
"LAKE HOSPITAL SYSTEM, INC.",6002713922,OH,CAHPS_GRP_3,Patients' rating of clinicians.,81,282,
"LAKE HOSPITAL SYSTEM, INC.",6002713922,OH,CAHPS_GRP_5,Health promotion and education.,64,324,
"LAKE HOSPITAL SYSTEM, INC.",6002713922,OH,CAHPS_GRP_8,Courteous and helpful office staff.,88,282,
"LAKE HOSPITAL SYSTEM, INC.",6002713922,OH,CAHPS_GRP_9,Clinicians working together for your care.,76,321,
UNMC PHYSICIANS,6002728391,NE,CAHPS_GRP_1,"Getting timely care, appointments, and information.",58,231,
UNMC PHYSICIANS,6002728391,NE,CAHPS_GRP_10,Between visit communication.,58,165,
UNMC PHYSICIANS,6002728391,NE,CAHPS_GRP_12,Attention to patient medicine cost.,25,280,
UNMC PHYSICIANS,6002728391,NE,CAHPS_GRP_2,How well clinicians communicate.,83,232,
UNMC PHYSICIANS,6002728391,NE,CAHPS_GRP_3,Patients' rating of clinicians.,82,219,
UNMC PHYSICIANS,6002728391,NE,CAHPS_GRP_5,Health promotion and education.,62,291,
UNMC PHYSICIANS,6002728391,NE,CAHPS_GRP_8,Courteous and helpful office staff.,84,220,
UNMC PHYSICIANS,6002728391,NE,CAHPS_GRP_9,Clinicians working together for your care.,75,289,
GUTHRIE MEDICAL GROUP PC,6002728656,PA,CAHPS_GRP_1,"Getting timely care, appointments, and information.",58,317,
GUTHRIE MEDICAL GROUP PC,6002728656,PA,CAHPS_GRP_10,Between visit communication.,51,212,
GUTHRIE MEDICAL GROUP PC,6002728656,PA,CAHPS_GRP_12,Attention to patient medicine cost.,22,334,
GUTHRIE MEDICAL GROUP PC,6002728656,PA,CAHPS_GRP_2,How well clinicians communicate.,83,317,
GUTHRIE MEDICAL GROUP PC,6002728656,PA,CAHPS_GRP_3,Patients' rating of clinicians.,82,302,
GUTHRIE MEDICAL GROUP PC,6002728656,PA,CAHPS_GRP_5,Health promotion and education.,55,345,
GUTHRIE MEDICAL GROUP PC,6002728656,PA,CAHPS_GRP_8,Courteous and helpful office staff.,85,301,
GUTHRIE MEDICAL GROUP PC,6002728656,PA,CAHPS_GRP_9,Clinicians working together for your care.,77,347,
PIEDMONT MEDICAL CARE CORPORATION,6002802220,GA,CAHPS_GRP_1,"Getting timely care, appointments, and information.",59,281,
PIEDMONT MEDICAL CARE CORPORATION,6002802220,GA,CAHPS_GRP_10,Between visit communication.,58,187,
PIEDMONT MEDICAL CARE CORPORATION,6002802220,GA,CAHPS_GRP_12,Attention to patient medicine cost.,26,286,
PIEDMONT MEDICAL CARE CORPORATION,6002802220,GA,CAHPS_GRP_2,How well clinicians communicate.,82,280,
PIEDMONT MEDICAL CARE CORPORATION,6002802220,GA,CAHPS_GRP_3,Patients' rating of clinicians.,82,265,
PIEDMONT MEDICAL CARE CORPORATION,6002802220,GA,CAHPS_GRP_5,Health promotion and education.,62,297,
PIEDMONT MEDICAL CARE CORPORATION,6002802220,GA,CAHPS_GRP_8,Courteous and helpful office staff.,82,269,
PIEDMONT MEDICAL CARE CORPORATION,6002802220,GA,CAHPS_GRP_9,Clinicians working together for your care.,77,300,
"ILLINOIS BONE AND JOINT INSTITUTE, LLC",6002814878,IL,CAHPS_GRP_1,"Getting timely care, appointments, and information.",51,241,
"ILLINOIS BONE AND JOINT INSTITUTE, LLC",6002814878,IL,CAHPS_GRP_10,Between visit communication.,44,121,
"ILLINOIS BONE AND JOINT INSTITUTE, LLC",6002814878,IL,CAHPS_GRP_12,Attention to patient medicine cost.,23,249,
"ILLINOIS BONE AND JOINT INSTITUTE, LLC",6002814878,IL,CAHPS_GRP_2,How well clinicians communicate.,77,241,
"ILLINOIS BONE AND JOINT INSTITUTE, LLC",6002814878,IL,CAHPS_GRP_3,Patients' rating of clinicians.,74,227,
"ILLINOIS BONE AND JOINT INSTITUTE, LLC",6002814878,IL,CAHPS_GRP_5,Health promotion and education.,55,273,
"ILLINOIS BONE AND JOINT INSTITUTE, LLC",6002814878,IL,CAHPS_GRP_8,Courteous and helpful office staff.,78,228,
"ILLINOIS BONE AND JOINT INSTITUTE, LLC",6002814878,IL,CAHPS_GRP_9,Clinicians working together for your care.,69,272,
"HORIZON MEDICAL GROUP, P.C.",6103715529,NY,CAHPS_GRP_1,"Getting timely care, appointments, and information.",63,355,
"HORIZON MEDICAL GROUP, P.C.",6103715529,NY,CAHPS_GRP_10,Between visit communication.,60,257,
"HORIZON MEDICAL GROUP, P.C.",6103715529,NY,CAHPS_GRP_12,Attention to patient medicine cost.,26,357,
"HORIZON MEDICAL GROUP, P.C.",6103715529,NY,CAHPS_GRP_2,How well clinicians communicate.,87,358,
"HORIZON MEDICAL GROUP, P.C.",6103715529,NY,CAHPS_GRP_3,Patients' rating of clinicians.,83,356,
"HORIZON MEDICAL GROUP, P.C.",6103715529,NY,CAHPS_GRP_5,Health promotion and education.,65,382,
"HORIZON MEDICAL GROUP, P.C.",6103715529,NY,CAHPS_GRP_8,Courteous and helpful office staff.,83,358,
"HORIZON MEDICAL GROUP, P.C.",6103715529,NY,CAHPS_GRP_9,Clinicians working together for your care.,78,381,
CGH MEDICAL CENTER,6103723267,IL,CAHPS_GRP_1,"Getting timely care, appointments, and information.",62,334,
CGH MEDICAL CENTER,6103723267,IL,CAHPS_GRP_10,Between visit communication.,62,219,
CGH MEDICAL CENTER,6103723267,IL,CAHPS_GRP_12,Attention to patient medicine cost.,32,333,
CGH MEDICAL CENTER,6103723267,IL,CAHPS_GRP_2,How well clinicians communicate.,83,334,
CGH MEDICAL CENTER,6103723267,IL,CAHPS_GRP_3,Patients' rating of clinicians.,79,315,
CGH MEDICAL CENTER,6103723267,IL,CAHPS_GRP_5,Health promotion and education.,56,347,
CGH MEDICAL CENTER,6103723267,IL,CAHPS_GRP_8,Courteous and helpful office staff.,86,322,
CGH MEDICAL CENTER,6103723267,IL,CAHPS_GRP_9,Clinicians working together for your care.,75,346,
TALLAHASSEE MEMORIAL HEALTHCARE INC,6103724778,FL,CAHPS_GRP_1,"Getting timely care, appointments, and information.",60,335,
TALLAHASSEE MEMORIAL HEALTHCARE INC,6103724778,FL,CAHPS_GRP_10,Between visit communication.,57,247,
TALLAHASSEE MEMORIAL HEALTHCARE INC,6103724778,FL,CAHPS_GRP_12,Attention to patient medicine cost.,30,348,
